"URI","Label","Definition","Notation","Status","AcceptedDate","owl:sameAs"
"http://dd.eionet.europa.eu/vocabulary/biodiversity/n2000habitats/5420","Sarcopoterium spinosum phryganas","","5420","valid","2013-08-07","http://eunis.eea.europa.eu/habitats/10107"
"http://dd.eionet.europa.eu/vocabulary/biodiversity/n2000habitats/5430","Endemic phryganas of the Euphorbio-Verbascion","","5430","valid","2013-08-07","http://eunis.eea.europa.eu/habitats/10108"
"http://dd.eionet.europa.eu/vocabulary/biodiversity/n2000habitats/6100","Natural grasslands","","6100","valid","2013-08-07","http://eunis.eea.europa.eu/habitats/10110"
"http://dd.eionet.europa.eu/vocabulary/biodiversity/n2000habitats/6110","Rupicolous calcareous or basophilic grasslands of the Alysso-Sedion albi","","6110","valid","2013-08-07","http://eunis.eea.europa.eu/habitats/10111"
"http://dd.eionet.europa.eu/vocabulary/biodiversity/n2000habitats/6120","Xeric sand calcareous grasslands","","6120","valid","2013-08-07","http://eunis.eea.europa.eu/habitats/10112"
"http://dd.eionet.europa.eu/vocabulary/biodiversity/n2000habitats/6130","Calaminarian grasslands of the Violetalia calaminariae","","6130","valid","2013-08-07","http://eunis.eea.europa.eu/habitats/10113"
"http://dd.eionet.europa.eu/vocabulary/biodiversity/n2000habitats/6140","Siliceous Pyrenean Festuca eskia grasslands","","6140","valid","2013-08-07","http://eunis.eea.europa.eu/habitats/10114"
"http://dd.eionet.europa.eu/vocabulary/biodiversity/n2000habitats/6150","Siliceous alpine and boreal grasslands","","6150","valid","2013-08-07","http://eunis.eea.europa.eu/habitats/10115"
"http://dd.eionet.europa.eu/vocabulary/biodiversity/n2000habitats/6160","Oro-Iberian Festuca indigesta grasslands","","6160","valid","2013-08-07","http://eunis.eea.europa.eu/habitats/10116"
"http://dd.eionet.europa.eu/vocabulary/biodiversity/n2000habitats/6170","Alpine and subalpine calcareous grasslands","","6170","valid","2013-08-07","http://eunis.eea.europa.eu/habitats/10117"
"http://dd.eionet.europa.eu/vocabulary/biodiversity/n2000habitats/6180","Macaronesian mesophile grasslands","","6180","valid","2013-08-07","http://eunis.eea.europa.eu/habitats/10118"
"http://dd.eionet.europa.eu/vocabulary/biodiversity/n2000habitats/6190","Rupicolous pannonic grasslands (Stipo-Festucetalia pallentis)","","6190","valid","2013-08-07","http://eunis.eea.europa.eu/habitats/10243"
"http://dd.eionet.europa.eu/vocabulary/biodiversity/n2000habitats/6200","Semi-natural dry grasslands and scrubland facies","","6200","valid","2013-08-07","http://eunis.eea.europa.eu/habitats/10119"
"http://dd.eionet.europa.eu/vocabulary/biodiversity/n2000habitats/6210","Semi-natural dry grasslands and scrubland facies on calcareous substrates (Festuco-Brometalia) (* important orchid sites)","","6210","valid","2013-08-07","http://eunis.eea.europa.eu/habitats/10120"
"http://dd.eionet.europa.eu/vocabulary/biodiversity/n2000habitats/6220","Pseudo-steppe with grasses and annuals of the Thero-Brachypodietea","","6220","valid","2013-08-07","http://eunis.eea.europa.eu/habitats/10121"
"http://dd.eionet.europa.eu/vocabulary/biodiversity/n2000habitats/6230","Species-rich Nardus grasslands, on silicious substrates in mountain areas (and submountain areas in Continental Europe)","","6230","valid","2013-08-07","http://eunis.eea.europa.eu/habitats/10122"
"http://dd.eionet.europa.eu/vocabulary/biodiversity/n2000habitats/6240","Sub-Pannonic steppic grasslands","","6240","valid","2013-08-07","http://eunis.eea.europa.eu/habitats/10123"
"http://dd.eionet.europa.eu/vocabulary/biodiversity/n2000habitats/6250","Pannonic loess steppic grasslands","","6250","valid","2013-08-07","http://eunis.eea.europa.eu/habitats/10124"
"http://dd.eionet.europa.eu/vocabulary/biodiversity/n2000habitats/6260","Pannonic sand steppes","","6260","valid","2013-08-07","http://eunis.eea.europa.eu/habitats/10125"
"http://dd.eionet.europa.eu/vocabulary/biodiversity/n2000habitats/6270","Fennoscandian lowland species-rich dry to mesic grasslands","","6270","valid","2013-08-07","http://eunis.eea.europa.eu/habitats/10126"
"http://dd.eionet.europa.eu/vocabulary/biodiversity/n2000habitats/6280","Nordic alvar and precambrian calcareous flatrocks","","6280","valid","2013-08-07","http://eunis.eea.europa.eu/habitats/10127"
"http://dd.eionet.europa.eu/vocabulary/biodiversity/n2000habitats/62A0","Eastern sub-mediteranean dry grasslands (Scorzoneratalia villosae)","","62A0","valid","2013-08-07","http://eunis.eea.europa.eu/habitats/10244"
"http://dd.eionet.europa.eu/vocabulary/biodiversity/n2000habitats/62B0","Serpentinophilous grassland of Cyprus","","62B0","valid","2013-08-07","http://eunis.eea.europa.eu/habitats/10245"
"http://dd.eionet.europa.eu/vocabulary/biodiversity/n2000habitats/62C0","Ponto-Sarmatic steppes","","62C0","valid","2013-08-07","http://eunis.eea.europa.eu/habitats/10263"
"http://dd.eionet.europa.eu/vocabulary/biodiversity/n2000habitats/62D0","Oro-Moesian acidophilous grasslands","","62D0","valid","2013-08-07","http://eunis.eea.europa.eu/habitats/10264"
"http://dd.eionet.europa.eu/vocabulary/biodiversity/n2000habitats/6300","Sclerophillous grazed forests (dehesas)","","6300","valid","2013-08-07","http://eunis.eea.europa.eu/habitats/10128"
"http://dd.eionet.europa.eu/vocabulary/biodiversity/n2000habitats/6310","Dehesas with evergreen Quercus spp","","6310","valid","2013-08-07","http://eunis.eea.europa.eu/habitats/10129"
"http://dd.eionet.europa.eu/vocabulary/biodiversity/n2000habitats/6400","Semi-natural tall-herb humid meadows","","6400","valid","2013-08-07","http://eunis.eea.europa.eu/habitats/10130"
"http://dd.eionet.europa.eu/vocabulary/biodiversity/n2000habitats/6410","Molinia meadows on calcareous, peaty or clayey-silt-laden soils (Molinion caeruleae)","","6410","valid","2013-08-07","http://eunis.eea.europa.eu/habitats/10131"
"http://dd.eionet.europa.eu/vocabulary/biodiversity/n2000habitats/6420","Mediterranean tall humid grasslands of the Molinio-Holoschoenion","","6420","valid","2013-08-07","http://eunis.eea.europa.eu/habitats/10132"
"http://dd.eionet.europa.eu/vocabulary/biodiversity/n2000habitats/6430","Hydrophilous tall herb fringe communities of plains and of the montane to alpine levels","","6430","valid","2013-08-07","http://eunis.eea.europa.eu/habitats/10133"
"http://dd.eionet.europa.eu/vocabulary/biodiversity/n2000habitats/6440","Alluvial meadows of river valleys of the Cnidion dubii","","6440","valid","2013-08-07","http://eunis.eea.europa.eu/habitats/10134"
"http://dd.eionet.europa.eu/vocabulary/biodiversity/n2000habitats/6450","Northern boreal alluvial meadows","","6450","valid","2013-08-07","http://eunis.eea.europa.eu/habitats/10135"
"http://dd.eionet.europa.eu/vocabulary/biodiversity/n2000habitats/6460","Peat grasslands of Troodos","","6460","valid","2013-08-07","http://eunis.eea.europa.eu/habitats/10246"
"http://dd.eionet.europa.eu/vocabulary/biodiversity/n2000habitats/6500","Mesophile grasslands","","6500","valid","2013-08-07","http://eunis.eea.europa.eu/habitats/10136"
