Waarde2;NaamWetenschappelijk1;NaamNederlands;Omschrijving1
Indigeniteit;Conyza bonariensis (L.) Cronq.;Gevlamde fijnstraal;neofyt
Indigeniteit;Conyza canadensis (L.) Cronq.;Canadese fijnstraal;neofyt
Indigeniteit;Conyza sumatrensis (Retz.) E. Walker;Hoge fijnstraal;neofyt
Indigeniteit;Corispermum leptopterum (Aschers.) Iljin;Smal vlieszaad;neofyt
Indigeniteit;Cornus sanguinea L.;Rode kornoelje;inheems
Indigeniteit;Cornus sericea L.;Canadese kornoelje;neofyt
Indigeniteit;Coronopus didymus (L.) Smith;Kleine varkenskers;neofyt
Indigeniteit;Coronopus squamatus (Forssk.) Aschers.;Grove varkenskers;inheems
Indigeniteit;Corrigiola litoralis L.;Riempjes;inheems
Indigeniteit;Corydalis solida (L.) Clairv.;Vingerhelmbloem;inheems
Indigeniteit;Corylus avellana L.;Hazelaar;inheems
Indigeniteit;Corynephorus canescens (L.) Beauv.;Buntgras;inheems
