taxonKey,acceptedScientificName,Classification,Description,n_climate,n_totaal,perc_climate,scenario
5361977,Sedum mexicanum,Cfa,Humid subtropical climate,196,259,0.7567567567567568,2051-2075-A1FI
5361977,Sedum mexicanum,Cfa,Humid subtropical climate,196,259,0.7567567567567568,2076-2100-A1FI
2781039,Hemerocallis citrina,Cfa,Humid subtropical climate,72,222,0.32432432432432434,2071-2100_Beck
2781039,Hemerocallis citrina,Cfa,Humid subtropical climate,72,222,0.32432432432432434,2051-2075-A1FI
2781039,Hemerocallis citrina,Cfa,Humid subtropical climate,72,222,0.32432432432432434,2076-2100-A1FI
8321919,Silene bellidifolia,Csa,Hot-summer Mediterranean climate,94,110,0.8545454545454545,2076-2100-A1FI
8085683,Verbascum orientale,Csa,Hot-summer Mediterranean climate,47,131,0.35877862595419846,2076-2100-A1FI
7648619,Gagea arvensis,Cfb,Temperate oceanic climate,101,114,0.8859649122807017,2071-2100_Beck
7461212,Oxalis bowiei,Cfa,Humid subtropical climate,50,187,0.26737967914438504,2071-2100_Beck
7648619,Gagea arvensis,Cfb,Temperate oceanic climate,101,114,0.8859649122807017,2001-2025-A1FI
7648619,Gagea arvensis,Cfb,Temperate oceanic climate,101,114,0.8859649122807017,2026-2050-A1FI
7648619,Gagea arvensis,Cfb,Temperate oceanic climate,101,114,0.8859649122807017,2051-2075-A1FI
7461212,Oxalis bowiei,Cfa,Humid subtropical climate,50,187,0.26737967914438504,2051-2075-A1FI
7461212,Oxalis bowiei,Cfa,Humid subtropical climate,50,187,0.26737967914438504,2076-2100-A1FI
2704474,Stipa papposa,Cfa,Humid subtropical climate,23,32,0.71875,2071-2100_Beck
2704474,Stipa papposa,Cfa,Humid subtropical climate,23,32,0.71875,2051-2075-A1FI
7324560,Convolvulus betonicifolius,Csa,Hot-summer Mediterranean climate,108,153,0.7058823529411765,2076-2100-A1FI
3106784,Senecio deltoideus,Csa,Hot-summer Mediterranean climate,50,245,0.20408163265306123,2076-2100-A1FI
2704474,Stipa papposa,Cfa,Humid subtropical climate,23,32,0.71875,2076-2100-A1FI
3188891,Oenothera humifusa,Cfa,Humid subtropical climate,197,253,0.7786561264822134,2071-2100_Beck
3118514,Tanacetum partheniifolium,Cfb,Temperate oceanic climate,38,175,0.21714285714285714,2071-2100_Beck
3118514,Tanacetum partheniifolium,Cfa,Humid subtropical climate,38,175,0.21714285714285714,2071-2100_Beck
3118514,Tanacetum partheniifolium,Cfb,Temperate oceanic climate,38,175,0.21714285714285714,2001-2025-A1FI
3118514,Tanacetum partheniifolium,Cfb,Temperate oceanic climate,38,175,0.21714285714285714,2026-2050-A1FI
3188891,Oenothera humifusa,Cfa,Humid subtropical climate,197,253,0.7786561264822134,2051-2075-A1FI
3118514,Tanacetum partheniifolium,Cfb,Temperate oceanic climate,38,175,0.21714285714285714,2051-2075-A1FI
3118514,Tanacetum partheniifolium,Cfa,Humid subtropical climate,38,175,0.21714285714285714,2051-2075-A1FI
3188891,Oenothera humifusa,Cfa,Humid subtropical climate,197,253,0.7786561264822134,2076-2100-A1FI
3118514,Tanacetum partheniifolium,Cfa,Humid subtropical climate,38,175,0.21714285714285714,2076-2100-A1FI
7274334,Tropaeolum pentaphyllum,Cfa,Humid subtropical climate,117,167,0.7005988023952096,2071-2100_Beck
7274334,Tropaeolum pentaphyllum,Cfa,Humid subtropical climate,117,167,0.7005988023952096,2051-2075-A1FI
7274334,Tropaeolum pentaphyllum,Cfa,Humid subtropical climate,117,167,0.7005988023952096,2076-2100-A1FI
8634178,Freesia alba,Csa,Hot-summer Mediterranean climate,103,166,0.6204819277108434,2076-2100-A1FI
5298598,Iris albicans,Csa,Hot-summer Mediterranean climate,110,207,0.5314009661835749,2076-2100-A1FI
7344895,Leontice leontopetalum,Csa,Hot-summer Mediterranean climate,34,88,0.38636363636363635,2076-2100-A1FI
