taxonKey,acceptedScientificName,Classification,Description,n_climate,n_totaal,perc_climate
2864467,Butomus umbellatus,ET,Tundra,3,60018,4.9985004498650404e-5
5403531,Crepis biennis,Csa,Hot-summer Mediterranean climate,37,56922,6.500122975299533e-4
5403531,Crepis biennis,BSk,Cold semi-arid (steppe) climate,11,56922,1.9324689926566177e-4
2864467,Butomus umbellatus,BSh,Hot semi-arid (steppe) climate,2,60018,3.33233363324336e-5
5403531,Crepis biennis,Dfa,Hot-summer humid continental climate,1,56922,1.756789993324198e-5
2864467,Butomus umbellatus,Dsa,"Hot, dry-summer continental climate",2,60018,3.33233363324336e-5
5301200,Potamogeton perfoliatus,Dwc,Monsoon-influenced subarctic climate,244,60695,0.004020100502512563
5301200,Potamogeton perfoliatus,Cfb,Temperate oceanic climate,28930,60695,0.4766455226954444
5289642,Apera spica-venti,Dfb,Warm-summer humid continental climate,6151,39227,0.15680526168200473
5301200,Potamogeton perfoliatus,Af,Tropical rainforest climate,1,60695,1.6475821731608865e-5
5301200,Potamogeton perfoliatus,Dfb,Warm-summer humid continental climate,17718,60695,0.29191860944064585
5301200,Potamogeton perfoliatus,ET,Tundra,105,60695,0.0017299612818189307
5289642,Apera spica-venti,Cfb,Temperate oceanic climate,32197,39227,0.8207867030361741
5301200,Potamogeton perfoliatus,Cfa,Humid subtropical climate,237,60695,0.003904769750391301
5301200,Potamogeton perfoliatus,Dfc,Subarctic climate,9169,60695,0.15106680945712167
5301200,Potamogeton perfoliatus,NA,NA,3343,60695,0.05507867204876843
5301200,Potamogeton perfoliatus,Cfc,Subpolar oceanic climate,490,60695,0.008073152648488343
5301200,Potamogeton perfoliatus,Csb,Warm-summer Mediterranean climate,21,60695,3.4599225636378615e-4
5289642,Apera spica-venti,NA,NA,87,39227,0.0022178601473474904
5289642,Apera spica-venti,Dfc,Subarctic climate,457,39227,0.011650138934917276
5301200,Potamogeton perfoliatus,BSk,Cold semi-arid (steppe) climate,108,60695,0.0017793887470137573
5289642,Apera spica-venti,Dfa,Hot-summer humid continental climate,17,39227,4.3337497132077396e-4
5289642,Apera spica-venti,ET,Tundra,35,39227,8.922425880133582e-4
5301200,Potamogeton perfoliatus,Dwb,Monsoon-influenced warm-summer humid continental climate,26,60695,4.2837136502183045e-4
5289642,Apera spica-venti,Csb,Warm-summer Mediterranean climate,19,39227,4.843602620643944e-4
5289642,Apera spica-venti,Cfa,Humid subtropical climate,151,39227,0.0038493894511433453
5301200,Potamogeton perfoliatus,Dwd,Monsoon-influenced extremely cold subarctic climate,7,60695,1.1533075212126205e-4
5301200,Potamogeton perfoliatus,Dwa,Monsoon-influenced hot-summer humid continental climate,19,60695,3.130406129005684e-4
5301200,Potamogeton perfoliatus,Dfa,Hot-summer humid continental climate,132,60695,0.00217480846857237
5301200,Potamogeton perfoliatus,Dsb,"Warm, dry-summer continental climate",6,60695,9.885493038965319e-5
5301200,Potamogeton perfoliatus,Cwa,Monsoon-influenced humid subtropical climate,1,60695,1.6475821731608865e-5
5289642,Apera spica-venti,Dsb,"Warm, dry-summer continental climate",4,39227,1.0197058148724093e-4
5301200,Potamogeton perfoliatus,Cwb,Subtropical highland climate or temperate oceanic climate with dry winters,2,60695,3.295164346321773e-5
5301200,Potamogeton perfoliatus,Dfd,Extremely cold subarctic climate,21,60695,3.4599225636378615e-4
